测试编号,测试用例名称,模块,预期结果,实际结果,测试状态,耗时,时间戳,提交方式,填到提(ms),提到响应(ms)
R01,正常注册成功,register,注册成功,注册成功,通过,25.68,2025-10-13 10:57:18,requestSubmit,1084,523
R02,用户名为空,register,数据验证失败,数据验证失败,通过,23.34,2025-10-13 10:57:42,precheck,0,1043
R03,密码为空,register,数据验证失败,数据验证失败,通过,23.01,2025-10-13 10:58:05,precheck,0,1026
R04,密码不匹配,register,密码不匹配,密码不匹配,通过,23.15,2025-10-13 10:58:28,precheck,0,1084
R05,密码过短边界(7位),register,数据验证失败,数据验证失败,通过,23.06,2025-10-13 10:58:51,precheck,0,1111
R06,密码最小边界(8位),register,注册成功,注册成功,通过,23.44,2025-10-13 10:59:14,requestSubmit,1031,476
R07,用户名最小边界(1位),register,注册成功,注册成功,通过,28.55,2025-10-13 10:59:43,requestSubmit,1057,5416
R08,用户名最大边界(32位),register,注册成功,注册成功,通过,24.37,2025-10-13 11:00:07,requestSubmit,1026,515
R09,特殊字符用户名,register,注册成功,注册成功,通过,23.66,2025-10-13 11:00:31,requestSubmit,1027,515
R10,邮箱格式无效,register,数据验证失败,注册成功,失败,23.75,2025-10-13 11:00:55,requestSubmit,1031,531
R11A,重复用户名-先导注册成功,register,注册成功,注册成功,通过,23.78,2025-10-13 11:01:19,requestSubmit,1090,474
R11B,重复用户名-再次注册触发提示,register,用户名已存在,数据验证失败,失败,23.69,2025-10-13 11:01:42,requestSubmit,1074,441
R12,登录成功用户-预注册,register,注册成功,注册成功,通过,23.65,2025-10-13 11:02:06,requestSubmit,1055,512
R13,强密码登录用户-预注册,register,注册成功,注册成功,通过,23.79,2025-10-13 11:02:30,requestSubmit,1064,537
R14,密码错误用户-预注册,register,注册成功,注册成功,通过,23.7,2025-10-13 11:02:53,requestSubmit,1028,495
L01,正常登录成功,login,登录成功,登录成功,通过,5.2,2025-10-13 11:02:59,,,
L02,用户名不存在,login,登录失败,数据验证失败,通过,2.34,2025-10-13 11:03:01,,,
L03,密码错误,login,登录失败,数据验证失败,通过,2.38,2025-10-13 11:03:03,,,
L04,用户名为空,login,数据验证失败,数据验证失败,通过,2.19,2025-10-13 11:03:06,,,
L05,密码为空,login,数据验证失败,数据验证失败,通过,2.2,2025-10-13 11:03:08,,,
L06,强密码登录,login,登录成功,登录成功,通过,4.5,2025-10-13 11:03:12,,,
