"题号","题干","A","B","C","D","E","答案","难度","题型"
"1","在农业合作化进程中，具有半社会主义性质的组织形式是（  ）。","初级农业生产合作社","常年互助组","临时互助组","高级农业生产合作社","","A","无","单选题"
"2","对手工业的社会主义改造，党和政府采取了（　）的方针。","自愿互利、典型示范和国家帮助","积极领导、稳步前进","利用、限制、改造","和平赎买","","B","无","单选题"
"3","新民主主义革命时期，中国共产党领导的统一战线，先后经历了（  ）等几个时期。","工农民主统一战线、第一次国共合作的统一战线、抗日民族统一战线、人民民主统一战线","第一次国共合作的统一战线、工农民主统一战线、抗日民族统一战线、人民民主统一战线","第一次国共合作的统一战线、工农民主统一战线、人民民主统一战线、抗日民族统一战线","工农民主统一战线、第一次国共合作的统一战线、人民民主统一战线、抗日民族统一战线","","B","无","单选题"
"4","新民主主义社会是属于（  ）体系的。","独立","资本主义","社会主义","封建主义","","C","无","单选题"
"5","由于经济文化还比较落后，中国的社会主义还只能是（  ）阶段的社会主义。","高级","初级","萌芽","中级","","B","无","单选题"
"6","在对农业的社会主义改造中，互助组具有（  ）性质。","半社会主义","社会主义","社会主义萌芽","私人经济","","C","无","单选题"
"7","1948年，毛泽东在（  ）中完整地总结和概括了新民主主义革命总路线的内容。","《改造我们的学习》","《中国革命和中国共产党》","《论人民民主专政》","《在晋绥干部会议上的讲话》","","D","无","单选题"
"8","在新民主主义社会中，（  ）的因素不论在经济上还是在政治上都已经居于领导地位。","社会主义","资本主义","半社会主义","非社会主义","","A","无","单选题"
"9","中国革命必须走农村包围城市、武装夺取政权的道路，是由（  ）决定的。","中国的社会性质","共产国际的要求","马克思主义理论","中国所处的时代特点和具体国情","","D","无","单选题"
"10","（  ）是中国历史上最深刻最伟大的社会变革，为当代中国一切发展进步奠定了制度基础。","辛亥革命","新中国的成立","社会主义基本制度的确立","第一部《中华人民共和国宪法》的颁布","","C","无","单选题"
"11","对手工业的社会主义改造是通过（  ），把个体手工业经济改造成为社会主义经济的过程。","发展互助组","和平赎买","合作化道路","国家帮助","","C","无","单选题"
"12","在对手工业的社会主义改造中，手工业供销合作社具有（  ）性质。","半社会主义","半资本主义","资本主义","社会主义","","A","无","单选题"
"13","近代中国社会最大的压迫是（  ），决定了无产阶级及其政党可以把一切爱国的、不愿受帝国主义奴役的人们团结在自己的周围。","思想压迫","民族压迫","阶级压迫","政治压迫","","B","无","单选题"
"14","在资本主义工商业的社会主义改造中，采用的赎买具体方式是（  ）。","将民族资本主义经济进行分割，一部分属于国家，一部分属于资本家","由国家支付一笔巨额补偿资金","让资本家在一定年限内从企业经营所得中获取一部分利润","遵循自愿互利、典型示范和国家帮助的原则","","C","无","单选题"
"15","党领导的革命统一战线，包含着两个联盟，其中（  ）是非基本的、辅助性的，但又是重要的不可缺少的。","工人阶级同农
民阶级的联盟","工人阶级和非劳动人民的联盟","工人阶级同广大知识分子及其他劳动者的联盟","工人阶级和城市小资产阶级的联盟","","B","无","单选题"
"16","在新民主主义条件下保护民族工商业，发展资本主义，是由（  ）所决定的。","新民主主义革命的目标","社会主义革命的性质","社会主要矛盾","中国落后的生产力和新民主主义革命的性质","","D","无","单选题"
"17","新民主主义社会是（  ）。","过渡性的社会","固定不变的社会","共产主义社会的初级阶段","独立的社会形态","","A","无","单选题"
"18","无产阶级及其政党实现领导权的关键是（  ）。","坚持独立自主的原则","加强无产阶级政党的建设","建立强大的革命武装","必须建立以工农联盟为基础的广泛的统一战线","","D","无","单选题"
"19","1949年3月，党的七届二中全会提出（  ）的思想。","两个转变同时并举","和平赎买","一化三改","三大改造","","A","无","单选题"
"20","国家资本主义的性质取决于（  ）。","垄断组织的性质","资本主义的经济地位","所在国家的性质","国家阶级构成","","C","无","单选题"
"21","（  ），我国对农业、手工业和资本主义工商业的社会主义改造基本完成。","1953年底","1956年底","1952年底","1956年初","","B","无","单选题"
"22","国家资本主义有初级形式和高级形式之分。高级形式的国家资本主义是（  ）。","统购包销","和平赎买","公私合营","经销代销","","C","无","单选题"
"23","新民主主义社会中的合作社经济是（  ）。","国家资本主义性质","社会主义性质","个体性质","半社会主义性质","","D","无","单选题"
"24","1953年，毛泽东在（  ）上正式提出过渡时期的总路线和总任务。","中央政治局会议","党的七届二中全会","党的八大","党的八届二中全会","","A","无","单选题"
"25","伴随着社会经济制度和社会经济结构的根本变化，我国社会的阶级关系也发生了根本的变化，其中，（  ）已经成为国家的领导阶级。","工人阶级","地主阶级","农民阶级","资产阶级","","A","无","单选题"
"26","（  ）指出：""当人民推翻了帝国主义、封建主义和官僚资本主义的统治之后，中国要向哪里去？向资本主义，还是向社会主义？……事实已经回答了这个问题：只有社会主义能够救中国。社会主义制度促进了我国生产力的突飞猛进的发展，这一点，甚至连国外的敌人也不能不承认了。""","刘少奇","邓小平","毛泽东","陈云","","C","无","单选题"
"27","1951年前后，党内大体形成了（  ）的共识。","先用三个五年计划的时间搞工业化建设，再向社会主义过渡","工作重心逐渐开始转向城市","稳步地由农业国变为工业国，由新民主主义国家转变为社会主义国家","迅速完成向社会主义过渡","","A","无","单选题"
"28","1956年底，资本主义私有制基本上转变成为（  ）。","无产阶级所有制","集体所有制","劳动者私有制","全民所有的公有制","","D","无","单选题"
"29","落后国家在先进国家无产阶级的帮助下，""可以不经过资本主义发展阶段而过渡到苏维埃制度，然后经过一定的发展阶段过渡到共产主义""，这是（  ）提出的。","列宁","马克思","毛泽东","恩格斯","","A","无","单选题"
"30","全行业公私合营后，国家对合营企业进行（  ）。","无偿没收","四马分肥","清产核资、定股定息","核价收购","","C","无","单选题"
"31","新民主主义革命理论是在（  ）的基础上形成的。","总结俄国十月革命的胜利的经验","总结旧民主主义革命失败的教训","总结新民主主义革命的成功实践","总结革命斗争正反两方面实践经验","","D","无","单选题"
"32","党对农业的社会主义改造采取了循序渐进的步骤，逐步实现过渡。其中第二阶段是建立（  ）。","农业生产互助组","农业生产变工队","初级农业生产合作社","高级农业生产合作社","","C","无","单选题"
"33","从1949年至1952年，党领导人民完成的主要任务是（  ）。","制定《中华人民共和国宪法》并颁布施行","集中力量恢复国民经济，继续完成民主革命遗留的任务","依照过渡时期的总路线向社会主义过渡","打败美帝国主义支持下的国民党反动派","","B","无","单选题"
"34","建立最广泛的统一战线，首先是由中国半殖民地半封建社会的阶级状况所决定的。毛泽东指出，""中国社会是一个两头小中间大的社会""。这里的""两头小""是指（  ）。","无产阶级和地主大资产阶级占少数","民族资产阶级和地主大资产阶级占少数","农民和城市小资产阶级占少数","农民和无产阶级占少数","","A","无","单选题"
"35","1949年，毛泽东在（  ）一文中，对新民主主义革命的基本经验作了集中概括，丰富和发展了马克思主义关于无产阶级领导人民革命的理论。","《中国革命和中国共产党》","《论人民民主专政》","《新民主主义论》","《实践论》","","B","无","单选题"
"36","在土地革命战争时期，革命的主要对象是（  ）。","美帝国主义支持下的国民党反动派","帝国主义支持下的北洋军阀","日本帝国主义","国民党新军阀","","D","无","单选题"
"37","在探索中国社会主义建设道路过程中，毛泽东提出，社会主义又可分为(    )个阶段。","三个","两个","四个","五个","","B","无","单选题"
"38","中国革命要分两步走，第一步是完成新民主主义革命任务，第二步是完成（  ）任务，这是性质不同但又相互联系的两个革命过程。","资本主义革命","新式的资产阶级民主革命","共产主义革命","社会主义革命","","D","无","单选题"
